"flat";"down";"up"
"呈現";0.101694915254237;0.525423728813559;0.372881355932203
"吃緊";0.333333333333333;0.444444444444444;0.222222222222222
"持續";0.128205128205128;0.384615384615385;0.487179487179487
"充電";0.363636363636364;0.454545454545455;0.181818181818182
"充滿";0.5;0.25;0.25
"出貨";0.131578947368421;0.263157894736842;0.605263157894737
"出來";0.5;0.25;0.25
"出籠";0.266666666666667;0.466666666666667;0.266666666666667
"出爐";0.259259259259259;0.185185185185185;0.555555555555556
"出現";0.12280701754386;0.429824561403509;0.447368421052632
"除息";0.428571428571429;0.285714285714286;0.285714285714286
"傳產";0.266666666666667;0.333333333333333;0.4
"傳出";0.181818181818182;0.363636363636364;0.454545454545455
"傳台";0.428571428571429;0.285714285714286;0.285714285714286
"傳聞";0.444444444444444;0.222222222222222;0.333333333333333
"傳言";0.307692307692308;0.307692307692308;0.384615384615385
"創辦人";0.363636363636364;0.181818181818182;0.454545454545455
"創高";0.285714285714286;0.285714285714286;0.428571428571429
"創下";0.211538461538462;0.365384615384615;0.423076923076923
"創新";0.205128205128205;0.282051282051282;0.512820512820513
"創新力";0.5;0.25;0.25
"創業";0.5;0.25;0.25
"創意";0.285714285714286;0.571428571428571;0.142857142857143
"春節";0.4;0.2;0.4
"純益";0.15;0.55;0.3
"慈昨";0.5;0.25;0.25
"促使";0.5;0.25;0.25
"達克";0.6;0.2;0.2
"大寶";0.117647058823529;0.588235294117647;0.294117647058824
"大廠";0.244897959183673;0.530612244897959;0.224489795918367
"大關";0.145833333333333;0.5;0.354166666666667
"大戶";0.307692307692308;0.307692307692308;0.384615384615385
"大會";0.444444444444444;0.333333333333333;0.222222222222222
"大立";0.25;0.25;0.5
"大立光";0.157894736842105;0.210526315789474;0.631578947368421
"大陸";0.125;0.375;0.5
"大盤";0.0932203389830508;0.483050847457627;0.423728813559322
"大企";0.5;0.25;0.25
"大勢所趨";0.428571428571429;0.285714285714286;0.285714285714286
"大受歡迎";0.428571428571429;0.285714285714286;0.285714285714286
"大於";0.307692307692308;0.153846153846154;0.538461538461538
"大戰";0.5;0.25;0.25
"大漲";0.0714285714285714;0.285714285714286;0.642857142857143
"代工";0.176470588235294;0.411764705882353;0.411764705882353
"代工廠";0.208333333333333;0.375;0.416666666666667
"代價";0.5;0.25;0.25
"帶動";0.153846153846154;0.307692307692308;0.538461538461538
"帶來";0.4;0.466666666666667;0.133333333333333
"單筆";0.5;0.25;0.25
"單月";0.444444444444444;0.222222222222222;0.333333333333333
"但多空";0.428571428571429;0.285714285714286;0.285714285714286
"倒數";0.307692307692308;0.461538461538462;0.230769230769231
"導致";0.115384615384615;0.538461538461538;0.346153846153846
"德股";0.6;0.2;0.2
"德國";0.375;0.375;0.25
"登場";0.4;0.4;0.2
"等功";0.5;0.25;0.25
"低標";0.428571428571429;0.285714285714286;0.285714285714286
"低點";0.1875;0.34375;0.46875
"低功耗";0.428571428571429;0.285714285714286;0.285714285714286
"低於";0.238095238095238;0.523809523809524;0.238095238095238
"電子";0.227272727272727;0.272727272727273;0.5
"訂單";0.45;0.3;0.25
"丟回";0.428571428571429;0.285714285714286;0.285714285714286
"董監";0.5;0.25;0.25
"董監事";0.5;0.25;0.25
"董事長";0.2;0.333333333333333;0.466666666666667
"動盪";0.15;0.25;0.6
"動能";0.151515151515152;0.303030303030303;0.545454545454545
"動態";0.375;0.25;0.375
"動向";0.266666666666667;0.333333333333333;0.4
"動作";0.238095238095238;0.380952380952381;0.380952380952381
"獨角獸";0.428571428571429;0.285714285714286;0.285714285714286
"堆高";0.5;0.25;0.25
"對比";0.6;0.2;0.2
"對決";0.375;0.25;0.375
"對台";0.25;0.416666666666667;0.333333333333333
"對於";0.217391304347826;0.565217391304348;0.217391304347826
"多單";0.25;0.25;0.5
"多獲";0.5;0.25;0.25
"多數";0.25;0.45;0.3
"多頭";0.242424242424242;0.378787878787879;0.378787878787879
"恩智浦";0.428571428571429;0.285714285714286;0.285714285714286
"二檔";0.4;0.4;0.2
"二天";0.5;0.25;0.25
"二線";0.333333333333333;0.333333333333333;0.333333333333333
"二項";0.428571428571429;0.285714285714286;0.285714285714286
"發酵";0.428571428571429;0.285714285714286;0.285714285714286
"廢除";0.3;0.4;0.3
"法人";0.260869565217391;0.173913043478261;0.565217391304348
"法說";0.0882352941176471;0.529411764705882;0.382352941176471
"反彈";0.137931034482759;0.32183908045977;0.540229885057471
"反應";0.157894736842105;0.263157894736842;0.578947368421053
"反轉";0.333333333333333;0.222222222222222;0.444444444444444
"方德";0.333333333333333;0.444444444444444;0.222222222222222
"分別";0.387096774193548;0.32258064516129;0.290322580645161
"分大單";0.5;0.25;0.25
"分數";0.5;0.25;0.25
"分析師";0.115702479338843;0.363636363636364;0.520661157024793
"封關";0.409090909090909;0.0909090909090909;0.5
"符合";0.444444444444444;0.333333333333333;0.222222222222222
"復華";0.4;0.2;0.4
"復活";0.428571428571429;0.285714285714286;0.285714285714286
"復甦";0.214285714285714;0.428571428571429;0.357142857142857
"富邦";0.272727272727273;0.181818181818182;0.545454545454545
"富比";0.428571428571429;0.285714285714286;0.285714285714286
"改寫";0.545454545454545;0.181818181818182;0.272727272727273
"改選";0.444444444444444;0.333333333333333;0.222222222222222
"干擾";0.3;0.3;0.4
"高點";0.266666666666667;0.333333333333333;0.4
"格羅";0.333333333333333;0.444444444444444;0.222222222222222
"各廠";0.5;0.25;0.25
"各類";0.272727272727273;0.363636363636364;0.363636363636364
"各項";0.428571428571429;0.285714285714286;0.285714285714286
"個股";0.139240506329114;0.430379746835443;0.430379746835443
"根據";0.363636363636364;0.272727272727273;0.363636363636364
"工業用水";0.5;0.25;0.25
"公布";0.4;0.4;0.2
"公噸";0.4;0.3;0.3
"公股";0.1875;0.25;0.5625
"公開市場";0.333333333333333;0.333333333333333;0.333333333333333
"公司債";0.3;0.4;0.3
"公證";0.428571428571429;0.285714285714286;0.285714285714286
"供電";0.428571428571429;0.285714285714286;0.285714285714286
"供應";0.3;0.3;0.4
"供應鏈";0.140350877192982;0.210526315789474;0.649122807017544
"股本";0.5;0.25;0.25
"股東會";0.461538461538462;0.230769230769231;0.307692307692308
"股價";0.125;0.321428571428571;0.553571428571429
"股民";0.428571428571429;0.285714285714286;0.285714285714286
"股市";0.25;0.166666666666667;0.583333333333333
"股息";0.307692307692308;0.307692307692308;0.384615384615385
"固態";0.428571428571429;0.285714285714286;0.285714285714286
"固樁";0.5;0.25;0.25
"僱用";0.5;0.25;0.25
"光將";0.428571428571429;0.285714285714286;0.285714285714286
"光學";0.4;0.2;0.4
"規模";0.375;0.25;0.375
"郭台銘";0.428571428571429;0.285714285714286;0.285714285714286
"國安";0.238095238095238;0.285714285714286;0.476190476190476
"國發";0.545454545454545;0.272727272727273;0.181818181818182
"國會";0.375;0.375;0.25
"國際";0.229357798165138;0.403669724770642;0.36697247706422
"國際金融";0.333333333333333;0.333333333333333;0.333333333333333
"國家";0.25;0.333333333333333;0.416666666666667
"國巨";0.5;0.25;0.25
"國聯";0.230769230769231;0.5;0.269230769230769
"國民黨";0.375;0.25;0.375
"國內";0.2;0.257142857142857;0.542857142857143
"國內法";0.375;0.25;0.375
"國泰";0.25;0.325;0.425
"過年";0.428571428571429;0.285714285714286;0.285714285714286
"行動";0.4;0.4;0.2
"合併";0.117647058823529;0.411764705882353;0.470588235294118
"合計";0.285714285714286;0.285714285714286;0.428571428571429
"合約";0.0967741935483871;0.516129032258065;0.387096774193548
"合作";0.5;0.25;0.25
"何時";0.444444444444444;0.222222222222222;0.333333333333333
"和後段";0.5;0.25;0.25
"鴻海";0.538461538461538;0.153846153846154;0.307692307692308
"後市";0.181818181818182;0.409090909090909;0.409090909090909
"呼籲";0.375;0.25;0.375
"互補";0.375;0.375;0.25
"互異";0.5;0.25;0.25
"華電";0.5;0.25;0.25
"回補";0.235294117647059;0.294117647058824;0.470588235294118
"回測";0.166666666666667;0.583333333333333;0.25
"回檔";0.222222222222222;0.518518518518518;0.259259259259259
"回歸";0.375;0.25;0.375
"回來";0.5;0.25;0.25
