"flat";"down";"up"
"控管";4;3;3
"叩關";4;3;6
"庫存";4;4;11
"寬度";3;2;2
"寬鬆";10;11;2
"困案";3;2;2
"拉動";4;2;2
"來到";15;46;40
"來看";7;8;9
"來期";4;2;2
"來自";4;2;6
"冷凍";4;2;2
"禮物";3;2;2
"力駁";4;2;2
"力守";4;9;7
"立法院";4;2;2
"歷年";4;2;2
"聯電";4;4;9
"聯發科";3;4;5
"聯網";3;7;6
"兩大";8;5;11
"兩天";3;5;7
"兩月營";3;2;2
"量產";4;2;2
"列車";4;4;4
"流動性";4;2;2
"龍頭";4;4;2
"陸續";4;2;2
"亂流";3;2;2
"呂穎彰";4;2;2
"買進";3;3;2
"賣壓";4;4;3
"沒有";4;3;3
"媒體";4;2;4
"每股";3;7;4
"每位";3;2;2
"美股";4;8;11
"美國";5;12;2
"民進黨";3;2;2
"名衝";4;2;2
"名單";4;4;4
"摩台期";4;2;4
"拿下";4;2;2
"那斯";6;2;2
"奈米";5;22;10
"南僑";4;2;2
"內部";4;3;2
"內資";3;10;4
"年來";6;2;5
"年輕人";4;3;2
"年終";3;3;3
"廿五";3;2;2
"牛仔褲";3;2;2
"歐美";3;2;6
"歐台期";4;4;8
"歐系";5;4;4
"歐洲";4;2;4
"排名";4;2;4
"判斷";4;2;5
"培養";4;2;2
"噴嚏";4;2;2
"平倉";3;7;11
"平盤";4;11;10
"屏息以待";4;6;2
"評鑑";6;4;5
"蘋果";6;14;16
"七千萬";3;2;2
"期間";4;4;3
"其趣";4;2;2
"其餘";4;6;3
"企圖";5;3;4
"企業";14;29;41
"啟動";6;6;11
"汽車";3;3;3
"千點";3;2;3
"千億美元";3;2;2
"前波";3;6;5
"前高";3;2;3
"前即";3;2;2
"前拉出";4;2;2
"前緣";4;2;2
"錢冠州";4;3;4
"強調";5;2;5
"強勢";6;10;12
"強心針";3;4;2
"清明節";4;2;2
"傾向";6;2;2
"情況";5;7;3
"情怯";4;5;2
"區間";3;8;6
"全年";3;3;4
"全球";3;4;4
"全數";8;17;14
"權值";6;11;8
"權重";4;4;2
"卻是";3;4;2
"確定";3;2;2
"熱錢";4;4;2
"人才";4;2;3
"人臉";4;4;4
"仍未明";4;2;2
"日島";3;2;2
"日刊";4;2;2
"融券";4;3;4
"如聯";3;2;2
"如興";3;2;2
"如中";3;2;2
"三大";10;23;17
"三家";4;2;2
"三星";3;7;4
"商機";5;10;7
"上調";4;2;6
"上法";3;2;2
"上櫃";12;27;27
"上市";3;4;4
"上似";4;2;2
"上探";3;4;4
"上漲";29;53;96
"上陣";4;2;2
"上證指數";4;10;6
"上周";4;8;9
"捎來";4;2;2
"設備";5;9;12
"設計";3;9;5
"升溫";4;2;4
"升息";3;3;3
"生技";4;3;3
"聲明";3;2;2
"勝敗";4;2;2
"施羅德";3;2;2
"師從";4;2;2
"十檔";5;8;2
"時機";4;2;2
"實力";5;3;7
"市場";34;82;75
"市場需求";3;5;2
"市況";4;4;6
"市占率";3;2;3
"市值";6;3;7
"收購";3;2;4
"收紅";4;5;2
"收盤";4;2;3
"收月增";4;2;2
"手機";7;6;11
"首季";6;5;2
"首屆";4;2;2
"受惠";3;5;2
"受惠者";3;2;2
"屬於";4;2;2
"稅制";3;2;2
"四大";4;2;2
"四個";4;5;6
"四三兆元";3;2;2
"伺機";4;3;5
"隨著";3;2;2
"他說";3;2;2
"台幣";3;11;9
"台廠";4;2;4
"台股";70;235;285
"台積";12;46;72
"台積電";39;159;178
"台灣";19;34;40
"台灣浩鼎";4;2;2
"太陽能";4;5;2
"題材";4;4;3
"挑戰";4;3;7
"條件";4;2;3
"通路";3;2;2
"同力說";3;2;2
"同時";3;12;7
"統計";4;3;3
"投顧";4;2;9
"投資";8;4;21
"投資人";6;32;21
"凸顯";6;4;2
"推估";5;5;11
"外資";33;121;139
"完整";3;2;2
"萬點";6;9;4
"萬元";3;2;2
"旺季";4;5;2
"危機";3;4;6
"圍繞";4;4;2
"尾盤";4;12;8
"尾聲";4;2;3
"未來";7;2;3
"問及";3;2;2
"問題";3;6;7
"吳當傑昨";3;2;2
"吳明蕙";4;2;2
"五大";4;3;2
"五到";4;2;2
"五個";4;9;9
"吸睛";4;2;2
"吸引外資";4;2;2
"希臘";6;4;15
"下半年";4;5;3
"下單";3;5;4
"下檔";3;4;3
"下滑";5;2;2
"下來";3;2;2
"下修";3;11;12
"下以";4;2;2
"先鋒";4;6;3
"限水";4;2;2
"現貨";4;26;21
"現金";4;4;7
"現在";4;2;2
"相關";3;3;3
"消費者";3;2;2
"小時";3;3;4
"小漲";4;5;9
"小資";3;2;2
"效應";6;2;4
"協會";3;5;5
"協理";4;8;11
"協商";4;2;3
"協助";4;2;3
"新高";4;9;12
"新機";3;2;3
"新機種";3;2;2
"新興";4;6;3
"新猷";4;2;2
"薪資";4;2;2
"性商";3;2;2
"興櫃";3;4;2
"修台";4;2;3
"宣告";3;2;2
"選擇權";3;4;8
"學苑";4;2;2
"壓回";4;6;3
"壓力";7;22;14
"壓盤";4;4;2
"壓縮";3;4;3
"亞股";8;58;42
"亞科";4;10;8
"亞投行";5;2;2
"亞洲";7;31;18
"亞洲盃";4;2;2
"延到";4;2;2
"嚴重";3;2;6
"羊年";8;2;6
"要角";3;7;6
"藥廠";4;2;2
"也將";8;2;7
"業外";3;2;2
"一筆";4;2;4
"一場";3;2;2
"一大筆";3;2;2
"一帶";4;2;2
"一個";8;8;7
"一舉";6;7;16
"一盤";4;4;5
"一線";5;4;3
"一項";4;2;2
